Country,Province,District,VDC/Municipality,Ward No.,Tole
Nepal,Koshi Province,TERHATHUM,Chhathar Rural Municipality,,
Nepal,Koshi Province,PANCHTHAR,Yangbarak Rural Municipality,,
Nepal,Koshi Province,PANCHTHAR,Hilihan Rural Municipality,,
Nepal,Koshi Province,PANCHTHAR,Falelung Rural Municipality,,
Nepal,Koshi Province,PANCHTHAR,Phidim Urban Municipality,,
Nepal,Koshi Province,PANCHTHAR,Falgunanda Rural Municipality,,
Nepal,Koshi Province,PANCHTHAR,Kummayak Rural Municipality,,
Nepal,Koshi Province,PANCHTHAR,Tumbewa Rural Municipality,,
Nepal,Koshi Province,PANCHTHAR,Miklajung Rural Municipality,,
Nepal,Koshi Province,ILAM,Mai Jogmai Rural Municipality,,
Nepal,Koshi Province,ILAM,Sandakpur Rural Municipality,,
Nepal,Koshi Province,ILAM,Illam Urban Municipality,,
Nepal,Koshi Province,ILAM,Deumai Urban Municipality,,
Nepal,Koshi Province,ILAM,Fakfokathum Rural Municipality,,
Nepal,Koshi Province,ILAM,Mangsebung Rural Municipality,,
Nepal,Koshi Province,ILAM,Chulachuli Rural Municipality,,
Nepal,Koshi Province,ILAM,Mai Urban Municipality,,
Nepal,Koshi Province,ILAM,Suryodaya Urban Municipality,,
Nepal,Koshi Province,ILAM,Rong Rural Municipality,,
Nepal,Koshi Province,JHAPA,Mechinagar Urban Municipality,,
Nepal,Koshi Province,JHAPA,Buddhashanti Rural Municipality,,
Nepal,Koshi Province,JHAPA,Arjundhara Urban Municipality,,
Nepal,Koshi Province,JHAPA,Kankai Urban Municipality,,
Nepal,Koshi Province,JHAPA,Shivasatakshi Urban Municipality,,
Nepal,Koshi Province,JHAPA,Kamal Rural Municipality,,
Nepal,Koshi Province,JHAPA,Damak Urban Municipality,,
Nepal,Koshi Province,JHAPA,Gauradaha Urban Municipality,,
Nepal,Koshi Province,JHAPA,Gauriganj Rural Municipality,,
Nepal,Koshi Province,JHAPA,Jhapa Rural Municipality,,
Nepal,Koshi Province,JHAPA,Barhadashi Rural Municipality,,
Nepal,Koshi Province,JHAPA,Birtamod Urban Municipality,,
Nepal,Koshi Province,JHAPA,Haldibari Rural Municipality,,
Nepal,Koshi Province,JHAPA,Bhadrapur Urban Municipality,,
Nepal,Koshi Province,JHAPA,Kachanakawal Rural Municipality,,
Nepal,Koshi Province,MORANG,Miklajung Rural Municipality,,
Nepal,Koshi Province,MORANG,Letang Urban Municipality,,
Nepal,Koshi Province,MORANG,Kerabari Rural Municipality,,
Nepal,Koshi Province,MORANG,Sundarharaicha Urban Municipality,,
Nepal,Koshi Province,MORANG,Belbari Urban Municipality,,
Nepal,Koshi Province,MORANG,Kanepokhari Rural Municipality,,
Nepal,Koshi Province,MORANG,Pathari Shanishchare Urban Municipality,,
Nepal,Koshi Province,MORANG,Urlabari Urban Municipality,,
Nepal,Koshi Province,MORANG,Ratuwamai Urban Municipality,,
Nepal,Koshi Province,MORANG,Sunwarshi Urban Municipality,,
Nepal,Koshi Province,MORANG,Rangeli Urban Municipality,,
Nepal,Koshi Province,MORANG,Gramthan Rural Municipality,,
Nepal,Koshi Province,MORANG,Budhiganga Rural Municipality,,
Nepal,Koshi Province,MORANG,Biratnagar Metropolitian City,,
Nepal,Koshi Province,MORANG,Katahari Rural Municipality,,
Nepal,Koshi Province,MORANG,Dhanapalthan Rural Municipality,,
Nepal,Koshi Province,MORANG,Jahada Rural Municipality,,
Nepal,Koshi Province,SUNSARI,Dharan Sub-Metropolitian City,,
Nepal,Koshi Province,SUNSARI,Barahachhetra Urban Municipality,,
Nepal,Koshi Province,SUNSARI,Koshi Rural Municipality,,
Nepal,Koshi Province,SUNSARI,Bhokraha Narsingh Rural Municipality,,
Nepal,Koshi Province,SUNSARI,Ramdhuni Urban Municipality,,
Nepal,Koshi Province,SUNSARI,Itahari Sub-Metropolitian City,,
Nepal,Koshi Province,SUNSARI,Duhabi Urban Municipality,,
Nepal,Koshi Province,SUNSARI,Gadhi Rural Municipality,,
Nepal,Koshi Province,SUNSARI,Inaruwa Urban Municipality,,
